name,address,phone_numbers,websites
World Relief (Aurora Office),"73 S. LaSalle St, Aurora, IL 60505",(630) 906-9546,http://worldreliefdupage.org/ILS 	lross@wr.org
World Relief (Chicago Office),"3507 W. Lawrence Ave., Suite 208, Chicago, IL 60625",(773) 583-9191,http://worldrelief.org/chicago 	chicago@wr.org
World Relief (Dupage Office),"1825 College Ave, Suite 230, Wheaton, IL 60187",(630) 462-7566,http://worldreliefdupage.org/ILS 	lross@wr.org
World Relief (Moline Office),"1204 4th Ave, Moline, IL 61265",(309) 764-2279,http://www.worldreliefmoline.org 	rrastovic@wr.org
Catholic Charities Diocese of Evansville,"610 E. Walnut St., Suite 220A, Evansville, IN 47713",(812) 423-5456,http://www.charitiesevv.org 	immigration@evdio.org
Catholic Charities Indianapolis - Immigration Legal Services,"1400 N. Meridian St, Indianapolis, IN 46202",(317) 236-1526,http://www.archindy.org/cc/indianapolis/index.html 	twinn@archindy.org
Catholic Charities of Fort Wayne-South Bend (Fort Wayne Office),"915 South Clinton St., Fort Wayne, IN 46802",(260) 422-5625,http://www.ccfwsb.org 	ccoffice@ccfwsb.org
"Compassionate Legal Services of Louisville and Southern Indiana, Inc.","704 Highlander Point Drive, Floyds Knobs, IN 47119",(502) 709-0460,http://www.compassionatelegal.org 	info@compassionatelegal.org
Hispanic Connection of Southern Indiana,"1410 Charlestown New Albany Road, Suite 101, Jeffersonville, IN 47130",(812) 944-0527,http://www.hispanicconnectionsi.com 	lgr9@yahoo.com
Immigrant Connection at The Bridge Community Church,"301 E Linden Ave, Logansport, IN 46947",(574) 753-8316,http://www.thebridgelogansport.com 
Indiana Legal Services - Immigrants and Language Rights Center (Indianapolis Office),"151 N. Delaware St, Suite 1800, Indianapolis, IN 46204",(317) 631-9410,http://www.indianalegalservices.org 
"La Casa de Amistad, Inc.","746 S. Meade Street, South Bend, IN 46619",(574) 233-2120,http://www.lacasadeamistad.org 	immigration@lacasadeamistad.org
"LaCasa, Inc.","202 N. Cottage Ave, Goshen, IN 46528",(574) 533-4450,http://www.lacasainc.net 	lacasa@lacasainc.net
Lafayette Urban Ministry Immigration Clinic,"420 North 4th Street, Lafayette, IN 47901",(765) 423-2691,http://www.lumserve.org 	sbrouillette@lafayetteurbanministry.org
National Immigrant Justice Center (Goshen Office),"203 S. Main St., Suite 6, Goshen, IN 46526",(312) 660-1370,https://www.immigrantjustice.org 
Neighborhood Christian Legal Clinic,"3333 N. Meridian St, Suite 201, Indianapolis, IN 46208",(317) 429-4131,http://www.nclegalclinic.org 	contactus@nclegalclinic.org
Sisters of St. Benedict Immigration Outreach,"802 E. 10th Street, Ferdinand, IN 47532",(812) 367-1411,ext. 2102	http://www.thedome.org 	juanitaosb@gmail.com
Valparaiso University Immigration Clinic,"Valparaiso University Law School, Heritage Hall, 510 Freeman St., Valparaiso, IN 46383",(219) 465-7903,http://www.valpo.edu/law/current-students/c-academics/c-clinic-and-skill-based-learning/c-law-clinics 
American Friends Service Committee - Legal Services Program,"4211 Grand Ave, Des Moines, IA 50312",(515) 274-4851,http://afsc.org/office/des-moines-ia 	jmashek@afsc.org
Catholic Charities of Archdioces of Dubuque - Immigration Legal Services,"1229 Mt. Lorretta Ave, Dubuque, IA 52003",(319) 364-7121,https://www.catholiccharitiesdubuque.org/catholic-charities-services/outreach-programs 
Catholic Charities of the Archdiocese of Dubuque (Cedar Rapids),"Sr. Mary Lawrence Community Center, 420 6th St S.E., Suite 220, Cedar Rapids, IA 52401",(319) 364-7121,http://www.CatholicCharitiesDubuque.org 
Diocese of Davenport - Immigration Services,"780 W. Central Park Ave, Davenport, IA 52804",(563) 324-1911,http://www.davenportdiocese.org/socialaction/saimmigrationprogram.htm 	communication@davenportdiocese.org
Diversity Service Center of Iowa,"1514 Isett Avenue, Stop 2, Muscatine, IA 52761",(563) 264-8883,https://sites.google.com/site/diversityservicecenterofiowa 	dscimuscatine@gmail.com
Iowa Justice for Our Neighbors (Cedar Rapids Office),"2424 42nd St. NE, Cedar Rapids, IA 52402",(515) 255-9809,http://www.iowajfon.org 	info@iowajfon.org
Iowa Justice for Our Neighbors (Columbus Junction Office),"517 2nd St., Columbus Junction, IA 52738",(515) 255-9809,http://www.iowajfon.org 	info@iowajfon.org
Iowa Justice for Our Neighbors (Decorah Office),"302 W. Broadway Street, Decorah, IA 52101",(515) 255-9809,http://www.iowajfon.org 	info@iowajfon.org
Iowa Justice for Our Neighbors (Des Moines Office),"1001 Office Park Road, Suite 121, West Des Moines, IA 50265",(515) 255-9809,http://www.iowajfon.org 	info@iowajfon.org
Iowa Justice for Our Neighbors (Ottumwa Office),"430 E. 2nd Street, Ottumwa, IA 52501",(515) 255-9809,http://www.iowajfon.org 	info@iowajfon.org
Iowa Justice for Our Neighbors (Storm Lake Office),"211 E. 3rd St., Storm Lake, IA 50588",(515) 255-9809,http://www.iowajfon.org 	info@iowajfon.org
Iowa Legal Aid,"1111 9th St, Suite 230, Des Moines, IA 50314",(515) 243-2980,http://www.iowalegalaid.org 
Mary J. Treglia Community House,"900 Jennings St, Sioux City, IA 51105",(712) 258-5137,http://www.marytreglia.org 
University of Iowa College of Law - Immigration Clinical Program,"380 Boyd Law Building, Melrose & Byington, Iowa City, IA 52242",(319) 335-9023,http://law.uiowa.edu/clinic 	law-legal-clinic@uiowa.edu
Catholic Charities of Northeast Kansas - La Luz Center for Legal Assistance,"2220 Central Ave, Kansas City, KS 66102",(913) 621-1504,http://www.catholiccharitiesks.org 	laluz@catholiccharitiesks.org
"Catholic Charities of Salina, Inc. (Salina Office)","425 W. Iron Ave., Salina, KS 67402",(785) 825-0208,http://www.ccnks.org 
Catholic Charities Wichita Immigration Services,"437 N. Topeka St, Wichita, KS 67202",(316) 264-0282,http://www.catholiccharitieswichita.org 	dosio@catholiccharitieswichita.org
"Immigrant Connection, Inc.","15320 S Ridgeview Rd, Olathe, KS 66062",(913) 210-1776,http://www.immigrantconnectioninc.org 	jwood@immigrantconnectioninc.org
"Immigration Law Office, Inc.","700 N. Market Street, Ste. B, Wichita, KS 67214",(316) 262-6222,https://immigrationadvocacy.net/ 	admin@immiglaw.net
International Rescue Committee (Wichita Office),"1530 S. Oliver, Suite 270, Wichita, KS 67218",(316) 351-5495,http://www.rescue.org/wichita 
AppalRed Legal Aid (Barbourville Office),"460 Court Square, Barbourville, KY 40906",(606) 546-5115,http://www.ardfky.org 
AppalRed Legal Aid (Hazard Office),"600 High St, Hazard, KY 41702",(606) 439-2315,http://www.ardfky.org 
AppalRed Legal Aid (Pikeville Office),"146 Main Street, Pikeville, KY 41501",(606) 437-3446,http://www.ardfky.org 
AppalRed Legal Aid (Prestonsburg Office),"120 N. Front Ave, Prestonsburg, KY 41653",(606) 886-3876,http://www.ardfky.org 
AppalRed Legal Aid (Richmond Office),"114 North Third St., Richmond, KY 40475",(859) 624-1394,http://www.ardfky.org 
AppalRed Legal Aid (Somerset Office),"108 College St, Somerset, KY 42501",(606) 679-7313,http://www.ardfky.org 
"Catholic Charities of Louisville, Inc. - Immigration Legal Services","2911 S. 4th St., Louisville, KY 40208",(502) 637-9786,http://www.cclou.org 	charities@archlou.org
"Kentucky Refugee Ministries, Inc. (Lexington Office)","1206 North Limestone, Lexington, KY 40505",(859) 226-5661,http://www.kyrm.org 	ejones@krmlex.org
"Kentucky Refugee Ministries, Inc. (Louisville Office)","969-B Cherokee Rd, Louisville, KY 40204",(502) 479-9180 ex. 586,http://www.kyrm.org 	jkoehlinger@kyrm.org
Legal Aid of the Bluegrass (Ashland Office),"3417 Blackburn Ave., Ashland, KY 41101",(877) 295-4137,http://www.lablaw.org 
Legal Aid of the Bluegrass (Covington Office),"104 E. 7th St, Covington, KY 41011",(859) 431-8200,http://www.lablaw.org 
Legal Aid of the Bluegrass (Lexington Office),"300 East Main Street, Suite 110, Lexington, KY 40507",(859) 233-4556,http://www.lablaw.org 
Legal Aid of the Bluegrass (Morehead Office),"546 E. Main St., Morehead, KY 40351",(606) 784-8921,http://www.lablaw.org 
Maxwell Street Legal Clinic - Kentucky Equal Justice Center,"Maxwell Street Legal Clinic, 201 E. Maxwell St, Lexington, KY 40508",(859) 233-3840,http://maxlegalaid.kyequaljustice.org 	guionjohnstone@kyequaljustice.org
Acadiana Legal Service Corporation (Lafayette Office),"1020 Surrey Street, Lafayette, LA 70502",(337) 237-4320,http://www.la-law.org 	alsclaf@la-law.org
Acadiana Legal Service Corporation (Lake Charles Office),"1 Lakeshore Drive, Suite 800, Lake Charles, LA 70629",(337) 439-0377,http://www.la-law.org 	alsclaf@la-law.org
Catholic Charities Archdioces of New Orleans - Hispanic Apostolate Community Services,"2505 Maine Ave, Metairie, LA 70003",(504) 310-6873,http://www.ccano.org/programs/hacs/ 
Catholic Charities of Baton Rouge - Immigration Legal Services,"1900 S. Acadian Thruway, Baton Rouge, LA 70808",(225) 336-8700,https://www.ccdiobr.org 	aallen@ccdiobr.org
Catholic Charities of New Orleans - Immigration and Refugee Services,"701 Loyola Avenue, 2nd Floor, New Orleans, LA 70113",(504) 310-6860,http://www.ccano.org 	ccano@ccano.org
Diocese of Lafayette - Migration and Refugee Services,"1408 Carmel Drive, Lafayette, LA 70501",(337) 261-5535,http://www.diolaf.org 	tquesada@diolaf.org
Gulf Coast Center for Law & Policy,"620 Oak Harbor Blvd, Ste 203, Slidell, LA 70458",(985) 643-6186,info@gcclp.org
Hispanic Apostolate of the Catholic Diocese of Baton Rouge,"6380 Hooper Road, Baton Rouge, LA 70811",(225) 927-8700,http://www.hispanicapostolate.org 	hapostol@bellsouth.net
Legal Services of Central Louisiana,"1808 Jackson Street, Alexandria, LA 71301-6434",(318) 443-7281,http://www.la-law.org 	walter@la-law.org
Loyola University College of Law - Stuart H. Smith Law Clinic and Center for Social Justice,"7214 St. Charles Avenue, Box 902, New Orleans, LA 70118",(504) 861-5595,http://www.loyno.edu/lawclinic 	hkusuda@loyno.edu
Project Ishmael,"3401 Canal Street, New Orleans, LA 70119",(504) 233-3057,http://www.projectishmaelnola.org/ 	ProjectIshmaelNOLA@gmail.com
St. Frances Cabrini Immigration Law Center,"3226 Lake St, Lake Charles, LA 70601",(337) 477-0683,ccimmigration@bellsouth.net
Catholic Charities Maine - Refugee and Immigration Services (Portland Office),"80 Sherman St, Portland, ME 04101",(207) 523-2793,http://www.ccmaine.org 	jsouthworth@ccmaine.org
Immigrant Legal Advocacy Project,"309 Cumberland Ave, Suite 201, Portland, ME 04101",(207) 780-1593,http://www.ilapmaine.org 	info@ilapmaine.org
CASA (Multicultural Center),"8151 15th Avenue, Hyattsville, MD 20783",(301) 431-4185,http://wearecasa.org 	info@wearecasa.org
"Catholic Charities of Baltimore Immigration Legal Services, Esperanza Center","430 S. Broadway, Baltimore, MD 21231",(410) 534-8015,http://www.catholiccharities-md.org/immigrants 
"Catholic Charities of Washington, D.C. (Gaithersburg Office)","201 E. Diamond Ave., 3rd Floor, Gaithersburg, MD 20877",(301) 740-2523,http://www.catholiccharitiesdc.org 	Communications@CatholicCharitiesDC.org
"Catholic Charities of Washington, D.C. (Silver Spring Office)","12247 Georgia Ave, Silver Spring, MD 20902",(301) 942-1790,http://www.catholiccharitiesdc.org 	Communications@CatholicCharitiesDC.org
Catholic Charities of Wilmington - Immigration and Refugee Services (Eastern Shore Office),"30632 Hampden Ave, Princess Anne, MD 21853",(410) 651-9608,http://www.cdow.org/immigration.html 	immigration@ccwilm.org
Chesapeake Multicultural Resource Center,"20 Bay St, Easton, MD 21601",(443) 786-1120,http://www.chesmrc.org 	mateo@chesmrc.org
"Foreign-born Information and Referral Network, Inc. (Columbia Office)","5999 Harpers Farm Rd, Suite E-200, Columbia, MD 21044",(410) 992-1923,http://www.firnonline.org 
"Foreign-Born Information and Referral Network, Inc. (Laurel Office)","9900 Washington Boulevard, Suite I, Laurel, MD 20723",(410) 880-5917,http://www.firnonline.org 	adowns@firnonline.org
HIAS Global Headquarters (Silver Spring),"1300 Spring Street, Suite 500, Silver Spring, MD 20910",(301) 844-7248,http://www.hias.org 	legalhelp@hias.org
International Rescue Committee (Silver Spring Office),"8719 Colesville Rd, 3rd Floor, Silver Spring, MD 20910",(301) 562-8633,http://www.rescue.org 	silverspring@rescue.org
International Rescue Committee - Baltimore Resettlement Center (Baltimore Office),"3516 Eastern Ave, Baltimore, MD 21224",(410) 558-3260,http://www.rescue.org 	baltimore@theIRC.org
Justice For Our Neighbors (Baltimore Office),"3405 Gough Street, Baltimore, MD 21224",(301)-920-0507,http://www.dcmdjfon.org 
Justice for Our Neighbors (Gaithersburg Office),"9008 Rosemont Drive, Gaithersburg, MD 20877",(301)-920-0507,http://www.dcmdjfon.org 
Justice For Our Neighbors (Hyattsville Office),"6201 Belcrest Rd, Hyattsville, MD 20782",(301)-920-0507,http://www.dcmdjfon.org 
Justice For Our Neighbors (Silver Spring Office),"P.O. Box 3398, Silver Spring, MD 20918",(301)-920-0507,http://www.dcmdjfon.org 
Kids in Need of Defense (Baltimore Office),"1800 N. Charles Street, Suite 810, The Walbert Building, Baltimore, MD 21201",(443) 470-9437,http://www.supportkind.org 	jjaimes@supportkind.org
Maryland Coalition Against Sexual Assault - Sexual Assault Legal Institute,"P.O. Box 8782, Silver Spring, MD 20907",(301) 565-2277,http://www.mcasa.org 
Sexual Assault / Spouse Abuse Resource Center (SARC),"PO Box 1207, Bel Air, MD 21014",(410) 836-8430,http://www.sarc-maryland.org/about 
Tahirih Justice Center (Baltimore Office),"201 N Charles St., Suite 920, Baltimore, MD 21202",(410) 999-1900,http://www.tahirih.org 	baltimore@tahirih.org
Women's Law Center of Maryland - Multi-Ethnic Domestic Violence Project,"111 N. Calvert St., Room 100, Baltimore, MD 21202",(410) 396-3294,http://www.wlcmd.org/projects.html 	admin@wlcmd.org
World Relief (Baltimore Office),"7 E. Baltimore St., Baltimore, MD 21202",(410) 244-0002,http://www.worldrelief.net/BaltimoreClinic 
Agencia ALPHA,"62 Northampton St, Suite 203-204, Boston, MA 02301",(617) 541-4455 ext. 16,http://www.agenciaalpha.org 	info@agenciaalpha.org
Ascentria Care Alliance (Westfield Office),"94 North Elm Street, Suite 401, Westfield, MA 01085",(413) 787-0725,http://www.ascentria.org 	legalhelp@ascentria.org
Ascentria Care Alliance (Worcester Office),"11 Shattuck Street, Worcester, MA 01605",(774) 243-3100,http://www.ascentria.org 	legalhelp@ascentria.org
Asian American Civic Association - Multi-Service Center,"87 Tyler St, 5th Floor, Boston, MA 02111",(617) 426-9492,http://www.aaca-boston.org 	info@aaca-boston.org
Berkshire Immigrant Center,"88 South St, Pittsfield, MA 01201",(413) 445-4881,http://www.berkshireic.com 	info@berkshireic.com
Catholic Charities of Boston - Refugee and Immigration Services,"275 W. Broadway, South Boston, MA 02127",(617) 464-8100,http://www.ccab.org/index.html 
Catholic Charities of Worcester County - Refugee & Immigration Services,"10 Hammond Street, Worcester, MA 01610",(508) 798-0191,http://www.ccworc.org 	info@ccworc.org
Catholic Social Services of Fall River - Immigrant Law Education and Advocacy Project,"1600 Bay Street, Fall River, MA 02724",(508) 674-4681,http://www.cssdioc.org/index.html 
Centro Presente,"12 Bennington Street, Suite 202, Boston, MA 02145",(857) 256-2981,http://www.cpresente.org 	pmontes@cpresente.org
Community Action Committee of Cape Cod & Islands - Immigration Resource Center,"372 North Street, Hyannis, MA 02601",(508) 771-1727,http://www.cacci.cc 	cmickle@cacci.cc
Community Economic Development Center,"1285 Acushnet Ave., New Bedford, MA 02746",(508) 979-4684,http://www.cedcnewbedford.org 	corinncedc@gmail.com
Community Legal Aid (Springfield Office),"One Monarch Pl, Suite 400, Springfield, MA 01144",(508) 425-2785,http://www.communitylegal.org 	evanscoyoc@cwjustice.org
Community Legal Aid (Worcester Office),"405 Main St, 4th Floor, Worcester, MA 01608",(508) 752-3718,http://www.communitylegal.org 
Community Legal Services and Counseling Center,"1 West Street, Cambridge, MA 02139",(617) 661-1010,http://www.clsacc.org 
Dominican Development Center,"42 Seaverns Ave, Boston, MA 02130",(617) 524-4029,http://dominicandevelopmentcenter.org 	Dominicandevelopmentcenter@gmail.org
East Boston Ecumenical Community Council,"50 Meridian St, Suite B1, East Boston, MA 02128",(617) 567-2750,http://www.ebecc.org/index.htm 	rpineda@ebecc.org
Freedom Hill Community Church,"77 Kennedy Dr, Malden, MA 02148",(781) 480-4179,http://www.freedomhillcommunitychurch.org 	marlane@freedomhill.church
Greater Boston Legal Services - Immigration Unit (Boston Office),"197 Friend St, Boston, MA 02114",(617) 603-1808,http://www.gbls.org 
Harbor Communities Overcoming Violence,"P.O. Box 505754, Chelsea, MA 02150",(617) 884-9799,http://www.harborcov.org 
Harvard University Law School - Immigration and Refugee Clinic,"6 Everett St, Suite 3103, Cambridge, MA 02138",(617) 384-8165,http://www.harvardimmigrationclinic.org 	hirc@law.harvard.edu
Irish International Immigrant Center (IIIC),"100 Franklin St, LL-1, Boston, MA 02110",(617) 542-7654,http://www.iiicenter.org 
Kids in Need of Defense (Boston Office),"c/o Nutter McClennen & Fish LLP, Seaport West, 155 Seaport Boulevard, Boston, MA 02210",(617) 207-4138,http://www.supportkind.org 	mhowe@supportkind.org
Luma Boston,"198 Ferry St, Everett, MA 02149",(617) 381-0015,lumaboston@yahoo.com
Massachusetts Immigrant and Refugee Advocacy Coalition (MIRA),"105 Chauncy Street, Suite 901, Boston, MA 02111",(617) 350-5480,http://www.miracoalition.org 	citizenship@miracoalition.org
MetroWest Legal Services,"63 Fountain St, Suite 304, Framingham, MA 01702",(508) 620-1830,http://www.mwlegal.org 
"Northeast Legal Aid, Inc. (Lawrence Office)","Union Crossing, 50 Island Street, Suite 203A, Lawrence, MA 01840",(978) 458-1465,http://www.northeastlegalaid.org 
"Northeast Legal Aid, Inc. (Lowell Office)","35 John Street, Suite 302, Lowell, MA 01852",(978) 458-1465,https://www.northeastlegalaid.org 
"Northeast Legal Aid, Inc. (Lynn Office)","181 Union Street, Suite 201A, Lynn, MA 01901",(978) 458-1465,http://www.northeastlegalaid.org 
Political Asylum / Immigration Representation Project,"98 North Washington Street, Suite 106, Boston, MA 02114",(617) 742-9296,http://www.pairproject.org 	acaranda@pairproject.org
Post-Deportation Human Rights Project (Boston College Center for Human Rights and International Justice),"885 Centre Street, Boston College Law School, Newton, MA 02459",(617) 552-9261,http://www.bc.edu/postdeportation 	pdhrp@bc.edu
Project Citizenship,"4 Faneuil Hall, South Market Building, Boston, MA 02109",(617) 694-5949,http://projectcitizenship.org 	info@projectcitizenship.org
Suffolk Law School - Immigration Law Clinic,"120 Tremont St, Fl 1, Boston, MA 02108",(617) 573-8100,http://www.suffolk.edu/law 
University of Massachusetts School of Law at Dartmouth - Immigration Law Clinic,"333 Faunce Corner Rd., Dartmouth, MA 02747",(508) 985-1174,http://law.umassd.edu 	cdesirey@umassd.edu
Victim Rights Law Center,"115 Broad St, 3rd Floor, Boston, MA 02110",(617) 399-6720 ext. 19,http://www.victimrights.org 	legalhelp@victimrights.org
American Arab Heritage Council,"416 N. Saginaw St., Suite 220, Flint, MI 48502",(810) 235-2722,http://www.aahcflint.org 	mona@aahcflint.org
Arab Community Center for Economic and Social Services - Human Services Center,"6451 Schaefer Rd, Dearborn, MI 48126",(313) 945-8167,http://www.accesscommunity.org 	gsaba@accesscommunity.org
Catholic Charities of Southeast Michigan - OIRS,"15945 Canal Road, Clinton Township, MI 48038",(586) 416-1113 ext. 4018,http://www.ccsem.org 	bartekd@ccsem.org
Diocese of Grand Rapids Immigration Legal Services,"213 Sheldon Blvd S.E., Grand Rapids, MI 49503",(616) 551-4746,http://www.dioceseofgrandrapids.org 
Diocese Of Kalamazoo - Immigration Assistance Program,"215 N. Westnedge Ave, Kalamazoo, MI 49007",(269) 385-1019,http://dioceseofkalamazoo.org/immigration-assistance-program 
Farmworker Legal Services,"3030 S. 9th St, Suite 1A, Kalamazoo, MI 49009",(269) 492-7190,http://www.farmworkerlaw.org 	fls@lsscm.org
Freedom House,"2630 W. Lafayette, Detroit, MI 48126",(313) 964-4320,http://www.freedomhousedetroit.org 	info@freedomhousedetroit.org
Hispanic American Council,"930 Lake Street, Kalamazoo, MI 49001",(269) 385-6279,http://hispanicamericancouncil.org 	adrian@hispanicamericancouncil.org
Immigrant Connection at City Life Church,"574 S. Division Ave, Grand Rapids, MI 49501",(616) 260-1477,http://www.citylifeonline.net/immigrant-connection.html 	Katie@citylifeonline.net
International Institute of Metropolitan Detroit,"111 E. Kirby, Detroit, MI 48202",(313) 871-8600,http://www.iimd.org 	immigration@iimd.org
Jewish Family Service of Metropolitan Detroit - Immigration and Citizenship Services,"6555 W. Maple Rd, West Bloomfield, MI 48322",(248) 592-2319,http://www.jfsdetroit.org/immigration.htm 	atorman@jfsdetroit.org
Justice For Our Neighbors - Southeastern Michigan (Beverly Hills Office),"20000 W. 13 Mile Rd, Beverly Hills, MI 48025",(734) 709-1151,http://www.jfonsemi.org 	appointments@jfonsemi.org
Justice For Our Neighbors West Michigan - United Methodist Committee on Relief (Grand Rapids Office),"207 E. Fulton St., Suite 3101, Grand Rapids, MI 49503",(616) 301-7461,http://www.jfonwestmichigan.org 
Justice For Our Neighbors West Michigan - United Methodist Committee on Relief (Holland Office),"57 W. 10th St., Holland, MI 49423",(616) 396-5595,http://www.jfonwestmichigan.org 
Legal Services of Northern Michigan (Alpena Office),"123 N. 2nd Ave, Alpena, MI 49707",(989) 356-9081,http://www.lsnm.org 
Legal Services of Northern Michigan (Escanaba Office),"806 Ludington St, Escanaba, MI 49829",(906) 786-2303,http://www.lsnm.org 
Legal Services of Northern Michigan (Gaylord Office),"1349 S. Otsego Ave., Unit 7B, Gaylord, MI 49735",(989) 705-1067,http://www.lsnm.org 
Legal Services of Northern Michigan (Houghton Office),"706 Sharon Ave, Houghton, MI 49931",(906) 482-3908,http://www.lsnm.org 
Legal Services of Northern Michigan (Marquette Office),"112 W. Washington St., Suite 1, Marquette, MI 49855",(906) 228-5620,http://www.lsnm.org 
Legal Services of Northern Michigan (Sault Ste. Marie Office),"130 W. Spruce St., Sault Sainte Marie, MI 49783",(906) 632-3361,http://www.lsnm.org 
Legal Services of Northern Michigan (Traverse City Office),"221 Garland St, Suite H, Traverse City, MI 49684",(231) 941-0771,http://www.lsnm.org 
Legal Services of South Central Michigan (Battle Creek Office),"123 W. Territorial, Battle Creek, MI 49015",(269) 965-3951,http://www.lsscm.org 
Legal Services of South Central Michigan (Jackson Office),"540 N. Jackson St, Jackson, MI 49201",(517) 787-6111,http://www.lsscm.org 
Legal Services of South Central Michigan (Lansing Office),"3490 Belle Chase Way, Suite 50, Lansing, MI 48911",(517) 394-3121,http://www.lsscm.org 
Legal Services of South Central Michigan (Monroe Office),"1118 S. Telegraph Rd, Suite A, Monroe, MI 48161",(734) 241-8310,http://www.lsscm.org 
Legal Services of South Central Michigan (Washtenaw County Office),"420 N. 4th Ave, Ann Arbor, MI 48104",(734) 665-6181,http://www.lsscm.org 
Legal Services of South Central Michigan - Family Law Project,"625 S. State St, Ann Arbor, MI 48107",(734) 998-9454,http://www.lsscm.org 
Michigan Immigrant Rights Center (Ann Arbor Office),"220 E. Huron Street, Suite 600A, Ann Arbor, MI 48104",(734) 239-6863,http://michiganimmigrant.org 	mirc@michiganimmigrant.org
Michigan Immigrant Rights Center (Kalamazoo Office),"3030 S. 9th St., Ste 1B, Kalamazoo, MI 49009",(734) 239-6863,http://www.michiganimmigrant.org 	mirc@michiganimmigrant.org
"Michigan Migrant Legal Assistance Project, Inc.","1104 Fuller Ave N.E., Grand Rapids, MI 49503",(616) 454-5055,http://www.mmlap.com 	info@mmlap.com
Michigan State University College of Law Immigration Law Clinic,"610 Abbot Rd, East Lansing, MI 48823",(517) 336-8088,http://www.law.msu.edu/clinics/immigration/about.html 	veronica.thronson@law.msu.edu
Michigan United - (West Kalamazoo Office),"1009 E. Stockbridge Avenue, Ste. 300, Kalamazoo, MI 49001-3811",(877) 507-7774 ext.705,http://www.miunited.org 	brannigan@miunited.org
Michigan United - East (Detroit Office),"4405 Wesson Street, Detroit, MI 48210",(248) 509-4430,http://www.miunited.org 	diego@miunited.org
Piast Institute,"11633 Joseph Campau St, Hamtramck, MI 48212",(313) 733-4535,http://www.piastinstitute.org 	info@piastinstitute.org
Samaritas,"2170 E. Big Beaver Rd., Suite C, Troy, MI 48083",(248) 663-8135,https://samaritas.org 	aalje@samaritas.org
St. Vincent Catholic Charities - Immigration Law Clinic,"2800 W. Willow St., Lansing, MI 48917",(517) 323-4734 ext. 1800,http://www.stvcc.org 
Telamon Corporation - Michigan Immigration Counseling Services,"416 N. Cedar St., Lansing, MI 48912",(517) 323-7002 ext. 124,http://www.telamon.org/michigan-immigration.aspx 	miimmigration@telamon.org
University of Michigan Law School Clinical Law Program,"801 Monroe St, Ann Arbor, MI 48109",(734) 763-4319,http://www.law.umich.edu/Pages/default.aspx 	mclp@umich.edu
Arrive Ministries,"1515 E. 66th St, Richfield, MN 55423",(612) 243-2961,http://www.arriveministries.org 	immigration@arriveministries.org
Battered Women's Legal Advocacy Project,"1611 Park Ave S., Suite 2, Minneapolis, MN 55404",(612) 343-9842,http://www.bwlap.org 	info@bwlap.org
Civil Society,"332 Minnesota St, Suite E-1436, St. Paul, MN 55101",(651) 291-0713,http://civilsocietyhelps.org 	office@civilsocietyhelps.org
Community Action Partnership of Suburban Hennepin,"8800 Highway 7, Suite 401, St. Louis Park, MN 55426",(952) 697-1365,http://www.capsh.org 	cwatson@capsh.org
Immigrant Law Center of Minnesota (St. Paul Office),"450 N. Syndicate St., Suite 200, St. Paul, MN 55104",(651) 641-1011,http://www.ilcm.org 
Immigrant Law Center of Minnesota (Worthington Office),"PO Box 993, Worthington, MN 56187",(651) 641-1011,http://www.ilcm.org 
International Institute of Minnesota,"1694 Como Ave, St. Paul, MN 55104",(651) 647-0191,http://www.iimn.org 	info@iimn.org
Lutheran Social Service of Minnesota - Refugee Services,"2400 Park Ave, Minneapolis, MN 55408",(612) 879-5263,http://www.lssmn.org 
Mid-Minnesota Legal Aid (St. Cloud Office),"830 W. St. Germain St, Suite 300, PO Box 886, St. Cloud, MN 56302",(320) 253-0121,http://www.mylegalaid.org/poverty-law/st-cloud-area-legal-services 
Mid-Minnesota Legal Aid (Willmar Office),"PO Box 1866, 415 7th St S.W., Willmar, MN 56201",(320) 235-9600,http://www.mylegalaid.org 
Mid-Minnesota Legal Aid - Immigration Law Project,"430 1st Ave N., Suite 300, Minneapolis, MN 55401",(612) 332-1441,http://www.mylegalaid.org 	MPLSimmigrationintake@mylegalaid.org
Minnesota Council of Churches - Refugee Services,"122 Franklin Ave W., Suite 100, Minneapolis, MN 55404",(612) 874-8605,http://www.mnchurches.org 	mcc@mnchurches.org
New American Alliance for Development (NAAD),"1821 University Ave W., Suite 328-South, St. Paul, MN 55104",(651) 645-5828,http://newamericansalliance.org 	yendeanderson@yahoo.com
Park Avenue Legal Clinic,"3400 Park Ave S., Park Avenue United Methodist Church, Minneapolis, MN 55404",(612) 825-6864 ext. 564,http://www.vlnmn.org 	colleen.beebe@vlnmn.org
"Southern Minnesota Regional Legal Services - Refugee, Immigrant, and Migrant Services (Rochester Office)","2500 Valleyhigh Dr N.W., Rochester, MN 55901",(507) 289-6199,http://www.smrls.org 	citizenship.rochester@smrls.org
"Southern Minnesota Regional Legal Services - Refugee, Immigrant, and Migrant Services (St. Paul Office)","450 N. Syndicate St, Suite 285, St. Paul, MN 55104",(651) 291-2837,http://www.smrls.org 	rims@smrls.org
The Advocates for Human Rights,"330 2nd Ave S., Suite 800, Minneapolis, MN 55401",(612) 341-9845 ,http://www.theadvocatesforhumanrights.org 	hrights@advrights.org
United Cambodian Association of Minnesota,"1385 Mendota Heights Rd, Suite 500, Mendota Heights, MN 55120",(651) 222-3299,http://www.ucamin.org 
